[2020-01-17 09:16:50,648] D:\python demo\OperationalInterface\src\utils\log\log.py->log line:39 [DEBUG]根据：'swyonghu'，数据属性：'swyonghu'，返回的数据类型：'roleName'，返回的数据： [{'name': '普通用户'}] 
[2020-01-17 09:16:56,575] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,662] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,699] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,790] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,825] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:56,921] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:56,957] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:57,042] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:57,078] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:57,167] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:57,204] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:57,291] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:57,328] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:57,420] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:57,456] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
[2020-01-17 09:16:57,544] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_make_request line:393 [DEBUG]http://47.106.245.240:8081 "POST /eosp/a/app/sys/dict/getDictByKey?JSESSIONID=a8573fdb6ee345a99f25716a199b3279 HTTP/1.1" 200 None
[2020-01-17 09:16:57,580] C:\Users\tdx\AppData\Local\Programs\Python\Python36\lib\site-packages\urllib3\connectionpool.py->_new_conn line:205 [DEBUG]Starting new HTTP connection (1): 47.106.245.240:8081
